States,Year,Visitors,Longitude,Latitude,total_visitor_per_1k_pop
Kelantan,2021,1921000,102.005,5.40349,29.11664848
Melaka,2021,3878000,102.293,2.32162,58.77894992
Negeri Sembilan,2021,5485000,102.149,2.70857,83.13629198
Pahang,2021,3405000,102.491,3.84557,51.60967625
Pulau Pinang,2021,5061000,100.261,5.36839,76.70971262
Perak,2021,4489000,101.059,4.74737,68.03989329
Perlis,2021,407000,100.253,6.52169,6.168909907
Selangor,2021,10212000,101.428,3.3078,154.7835577
Terengganu,2021,3719000,103.013,4.94214,56.36898266
Sabah,2021,3815000,117.095,5.31115,57.82405723
Sarawak,2021,6511000,113.344,2.44952,98.68740148
Kuala Lumpur,2021,9116000,101.698,3.13836,138.1714563
Labuan,2021,54000,115.222,5.32524,0.818479447
Putrajaya,2021,223000,101.706,2.93814,3.380016976
Johor,2022,12376000,103.412,2.00649,72.11995128
Kedah,2022,11186000,100.647,5.80958,65.18534058
Kelantan,2022,6627000,102.005,5.40349,38.61820598
Melaka,2022,11757000,102.293,2.32162,68.51278824
Negeri Sembilan,2022,11490000,102.149,2.70857,66.95687138
Pahang,2022,13189000,102.491,3.84557,76.85763069
Pulau Pinang,2022,10003000,100.261,5.36839,58.29152171
Perak,2022,14567000,101.059,4.74737,84.88779334
Perlis,2022,1669000,100.253,6.52169,9.725937192
Selangor,2022,21990000,101.428,3.3078,128.1446129
Terengganu,2022,10233000,103.013,4.94214,59.63182462
Sabah,2022,12589000,117.095,5.31115,73.36118832
Sarawak,2022,15465000,113.344,2.44952,90.12080208
Kuala Lumpur,2022,16913000,101.698,3.13836,98.558883
Labuan,2022,244000,115.222,5.32524,1.421886564
Putrajaya,2022,1306000,101.706,2.93814,7.610589558
Johor,2015,11589000,103.412,2.00649,65.49788908
Kedah,2015,12425000,100.647,5.80958,70.22273465
Kelantan,2015,9070000,102.005,5.40349,51.26118336
Melaka,2015,11552000,102.293,2.32162,65.2887751
Negeri Sembilan,2015,9984000,102.149,2.70857,56.4268638
Pahang,2015,14398000,102.491,3.84557,81.37359625
Pulau Pinang,2015,9341000,100.261,5.36839,52.79280196
Perak,2015,15966000,101.059,4.74737,90.23550755
Perlis,2015,1410000,100.253,6.52169,7.968938097
Selangor,2015,22063000,101.428,3.3078,124.6941002
Terengganu,2015,11483000,103.013,4.94214,64.89880579
Sabah,2015,15722000,117.095,5.31115,88.85648564
Sarawak,2015,15355000,113.344,2.44952,86.78230105
Kuala Lumpur,2015,15080000,101.698,3.13836,85.22807553
Labuan,2015,310000,115.222,5.32524,1.752036035
Putrajaya,2015,1188000,101.706,2.93814,6.714254226
